month,day,name_ko,name_en,scientific_name,flower_id,meaning_ko,source_url,editorial_note
1,1,스노드롭,Snow Drop,,,희망,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,"birth-v1: 두 표가 꽃말부터 갈린다. 순천만은 '깊은애정', 로얄플라워는 '희망'이다. 서양 스노드롭 꽃말은 hope 계열이 널리 쓰인다"
1,2,노랑수선화,,Narcissus jonquilla,narcissus,사랑에 답하여,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1: 학명 철자 교정: 원문 'Narcissus Jonquilla' → 'Narcissus jonquilla'
1,3,사프란,Spring Crocus,,crocus,후회 없는 청춘,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1: 순천만 표 표기 — 이름 '샤프란'. 도감 연결: 표의 한글 이름은 샤프란이지만 영문명 Spring Crocus 와 꽃말(청춘)이 봄 크로커스를 가리켜 카탈로그 crocus(Crocus vernus)와 종이 맞는다. 사프란(Crocus sativus)·콜키쿰이 분명한 1월 24일·9월 21일 행은 잇지 않았다
1,4,히아신스,Hyacinth,,hyacinth,차분한 사랑,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1: 순천만 표 표기 — 이름 '히야신스'
1,5,노루귀,,Hepatica,,인내,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1
1,6,흰제비꽃,Violet,,violet,순진무구한 사랑,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1
1,7,튤립,,Tulipa,tulip-white,실연,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1
1,8,보랏빛 제비꽃,Violet,,violet,사랑,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1
1,9,노랑 제비꽃,Violet,,violet,수줍은 사랑,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1
1,10,회양목,Box-Tree,,,참고 견뎌냄,https://www.xn--oi2bpqy92ashbd12b.kr/bbs/content.php?co_id=flower_02,birth-v1
