month,day,name_ko,slug,commons_page_url,direct_url,author,license,width,species_note,family_line
1,1,스노드롭,seunodeurop,https://commons.wikimedia.org/wiki/File:20260307_Galanthus_nivalis.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/20260307_Galanthus_nivalis.jpg/1280px-20260307_Galanthus_nivalis.jpg,Flocci Nivis,CC BY 4.0,5079,파일 설명 학명 Galanthus nivalis 일치 — 실물 대조 확인,수선화과의 작은 알뿌리 식물이에요 — 눈이 채 녹기 전에 고개 숙인 흰 꽃을 가장 먼저 피웁니다.
1,5,노루귀,norugwi,"https://commons.wikimedia.org/wiki/File:%E5%B0%96%E7%93%A3%E7%8D%90%E8%80%B3%E7%B4%B0%E8%BE%9B_Hepatica_asiatica_f_acutiloba_-%E9%A6%96%E7%88%BE%E5%88%87%E9%A0%AD%E5%B1%B1%E5%85%AC%E5%9C%92_Seoul,_South_Korea-_(33142022393).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/%E5%B0%96%E7%93%A3%E7%8D%90%E8%80%B3%E7%B4%B0%E8%BE%9B_Hepatica_asiatica_f_acutiloba_-%E9%A6%96%E7%88%BE%E5%88%87%E9%A0%AD%E5%B1%B1%E5%85%AC%E5%9C%92_Seoul%2C_South_Korea-_%2833142022393%29.jpg/1280px-%E5%B0%96%E7%93%A3%E7%8D%90%E8%80%B3%E7%B4%B0%E8%BE%9B_Hepatica_asiatica_f_acutiloba_-%E9%A6%96%E7%88%BE%E5%88%87%E9%A0%AD%E5%B1%B1%E5%85%AC%E5%9C%92_Seoul%2C_South_Korea-_%2833142022393%29.jpg,阿橋 HQ,CC BY-SA 2.0,2064,CSV가 속명 Hepatica만 제시 — 한국 자생 노루귀(H. asiatica) 서울 촬영본 채택,미나리아재비과의 이른 봄 야생화예요 — 잎이 펼쳐지기 전에 솜털 돋은 꽃대부터 올립니다.
1,10,회양목,hoeyangmok,https://commons.wikimedia.org/wiki/File:Buxus_koreana%27s_flowers.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Buxus_koreana%27s_flowers.JPG/1280px-Buxus_koreana%27s_flowers.JPG,Dalgial,CC BY-SA 3.0,3264,"파일 설명 Buxus sinica var. insularis(회양목) 개화 — 인천 촬영, 한국명 일치",회양목과의 늘푸른 관목이에요 — 봄에 연노랑 꽃이 잎겨드랑이에 모여 핍니다.
1,11,측백나무,cheukbaeknamu,https://commons.wikimedia.org/wiki/File:Platycladus_orientalis_cones.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Platycladus_orientalis_cones.jpg/1280px-Platycladus_orientalis_cones.jpg,Josef Grunig at Flickr,CC BY-SA 2.0,3072,파일 설명 Platycladus orientalis 일치 — 잎과 열매 근접컷,측백나무과의 늘푸른 침엽수예요 — 납작한 부챗살 잎에 분을 바른 듯한 청록색 열매가 달립니다.
1,12,향기 알리섬,hyanggi-alriseom,"https://commons.wikimedia.org/wiki/File:Lobularia_maritima,_S%C3%A8te_01.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Lobularia_maritima%2C_S%C3%A8te_01.jpg/1280px-Lobularia_maritima%2C_S%C3%A8te_01.jpg,Christian Ferrer,CC BY-SA 4.0,3961,파일 설명 Lobularia maritima 일치,십자화과의 낮게 퍼지는 풀이에요 — 자잘한 흰 꽃이 방석처럼 덮이며 꿀 향을 냅니다.
1,15,가시,gasi,https://commons.wikimedia.org/wiki/File:Prunus_spinosa_04.2025_(9).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Prunus_spinosa_04.2025_%289%29.jpg/1280px-Prunus_spinosa_04.2025_%289%29.jpg,DidierFy,CC BY-SA 4.0,8192,총칭 '가시' — 학명 없음. 가시나무를 대표하는 장미과 블랙손(Prunus spinosa) 개화 사진 채택,잎보다 먼저 흰 꽃을 피우는 장미과의 가시나무예요 — 굳은 가지 끝이 그대로 가시가 됩니다.
1,17,수영,suyeong-0117,https://commons.wikimedia.org/wiki/File:Rumex_acetosa_(subsp._acetosa)_sl18.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rumex_acetosa_%28subsp._acetosa%29_sl18.jpg/1280px-Rumex_acetosa_%28subsp._acetosa%29_sl18.jpg,Stefan.lefnaer,CC BY-SA 4.0,3096,CSV 속명 Rumex — 수영에 해당하는 R. acetosa 꽃차례,"마디풀과의 여러해살이풀이에요 — 신맛 나는 잎을 먹고, 초여름엔 붉게 물든 꽃차례가 곧게 섭니다."
1,18,어저귀,eojeogwi,https://commons.wikimedia.org/wiki/File:Abutilon_theophrasti_RF.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Abutilon_theophrasti_RF.jpg/1280px-Abutilon_theophrasti_RF.jpg,Robert Flogaus-Faust,CC BY 4.0,2656,파일 설명 Abutilon theophrasti 일치,아욱과의 한해살이풀이에요 — 벨벳처럼 부드러운 넓은 잎 사이로 노란 꽃이 하나씩 핍니다.
1,19,소나무,sonamu-0119,"https://commons.wikimedia.org/wiki/File:Pinus_densiflora,_Morris_Arboretum_03.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Pinus_densiflora%2C_Morris_Arboretum_03.jpg/1280px-Pinus_densiflora%2C_Morris_Arboretum_03.jpg,Shuvaev,CC BY-SA 4.0,4608,name_en Pine — 한국 소나무 Pinus densiflora 구과·잎 근접,소나무과의 늘푸른 큰키나무예요 — 붉은 껍질과 두 개씩 모여나는 바늘잎이 우리 산을 지킵니다.
1,20,미나리아재비,minariajaebi-0120,https://commons.wikimedia.org/wiki/File:Ranunculus_japonicus_3.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Ranunculus_japonicus_3.JPG/1280px-Ranunculus_japonicus_3.JPG,Dalgial,CC BY-SA 3.0,4272,name_en Butter Cup — 한국 미나리아재비 Ranunculus japonicus,미나리아재비과의 여러해살이풀이에요 — 기름을 바른 듯 반짝이는 노란 꽃잎이 특징입니다.
