name_ko,story_id,title,hook,story_ko,culture_region,era,story_type,source_kind,source_url,confidence,editorial_note
스노드롭,bstory-snowdrop-paskov-nivalin,발칸 농민의 민간요법이 치매약이 됐습니다,"발칸 산골 사람들이 신경통에 쓰던 알뿌리에서, 지금도 처방되는 치매약이 나왔습니다.","발칸과 캅카스 산골에서는 오래전부터 스노드롭 알뿌리를 신경 계통 병에 써 왔어요. 1950년대에 불가리아 화학자 디미타르 파스코프가 그 민간요법에 눈을 돌렸어요. 그는 스노드롭 알뿌리에서 갈란타민이라는 물질을 뽑아내 니발린이라는 이름으로 세상에 내놨어요. 갈란타민은 아세틸콜린을 분해하는 효소를 막아요. 알츠하이머병에서 모자라는 게 바로 그 아세틸콜린이라, 이 물질은 지금도 알츠하이머 증상 치료제로 쓰이고 있어요. 눈 녹기도 전에 고개를 내미는 이 작은 꽃이, 기억을 붙잡아 두는 약의 원료였던 거예요.",bulgaria,1950s-modern,history,paper,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7933568/,repeated,birth-story-v1: docs/birth-stories-research-1.md #1. 출처 논문이 파스코프의 분리·니발린 상품화·아세틸콜린에스터레이스 억제 기전을 함께 기술. 갈란타민은 수선화 등 다른 수선화과 식물에서도 얻으므로 '스노드롭에서만 나온다'고는 쓰지 않았다.
스노드롭,bstory-snowdrop-moly-odysseus,오디세우스가 받은 약초라는 설,마녀의 마법을 막아 준 호메로스의 약초가 스노드롭이었다는 주장이 있습니다.,"오디세이아에는 헤르메스가 오디세우스에게 약초 하나를 건네는 장면이 나와요. 그걸 지니고 있으면 마녀 키르케의 약이 듣지 않는다고요. 호메로스는 그 풀을 몰리라고 불렀어요. 20세기 신경학자들이 재미있는 가설을 냈어요. 키르케가 쓴 약이 기억과 정신을 흐리는 항콜린성 독이라면, 그걸 막을 해독제는 콜린 쪽을 붙드는 물질이어야 한다는 거예요. 스노드롭의 갈란타민이 바로 그런 물질이거든요. 물론 몰리가 정말 스노드롭이었는지는 아무도 확인할 수 없어요. 다만 '홀리 몰리'라는 감탄사가 여기서 왔을지도 모른다는 이야기까지 붙어 있어요.",greece,ancient-modern,literary,magazine,https://www.mcgill.ca/oss/article/medical-history/odysseus-snowdrop-odyssey,varies,birth-story-v1: docs/birth-stories-research-1.md #2. 몰리=스노드롭 비정은 확정된 사실이 아니라 가설이라 본문에서 '설'로 못박고 confidence 를 varies 로 내렸다.
스노드롭,bstory-snowdrop-golden-tears-ebay,"알뿌리 하나가 1,850파운드에 팔렸습니다","2022년 이베이에서 스노드롭 알뿌리 한 알이 1,850파운드에 낙찰됐습니다. 배송비는 5파운드였습니다.","스노드롭에 미친 사람들을 영어로 갈란토파일이라고 불러요. 이들이 모이는 곳이 봄마다 열리는 알뿌리 경매예요. 2022년 2월, 갈란투스 플리카투스 '골든 티어스' 알뿌리 한 알이 이베이에서 1,850파운드에 팔렸어요. 배송비는 5파운드였고요. 이 품종을 만든 사람은 몽크실버 너서리의 조 샤먼이에요. 스노드롭의 왕이라고 불리는 사람인데, 2015년에도 자기가 만든 '골든 플리스'로 1,390파운드라는 기록을 세운 적이 있어요. 손톱만 한 흰 꽃 한 송이의 값이에요.",england,modern,history,magazine,https://www.gardensillustrated.com/news/snowdrop-bulb-sells-for-a-record-busting-1850,repeated,birth-story-v1: docs/birth-stories-research-1.md #3. 금액·연도·품종명·육종가를 출처 본문에서 그대로 확인. 이후 시세가 내려간 사례도 있어 '역대 최고가는 지금도 그대로'라고는 쓰지 않았다.
사프란,bstory-autumn-crocus-byzantine-gout,독초를 통풍약으로 바꾼 5세기 의사들,황제의 주치의는 이 독초로 고약을 개어 부어오른 관절에 붙이라고 했어요.,"콜키쿰은 처음에 약이 아니라 독으로 기록됐어요. 1세기 디오스코리데스가 이 식물을 언급하기는 했지만 강한 독성을 강조했거든요. 그런데 5세기 비잔티움에서 판이 바뀌어요. 의철학자 세베루스 이아트로소피스타가 헤르모닥틸, 곧 콜키쿰을 통풍 치료에 처음 끌어들였고, 같은 시기 학자 테오도시우스도 같은 식물을 통풍 약초로 제안했어요. 레오 1세 황제의 주치의였던 야코부스 프시크레스토스는 이 풀로 끈적한 고약을 만들어 부어오른 관절에 붙이라고 권했어요. 흔히 콜키쿰을 통풍 치료에 도입한 사람으로 알려진 알렉산드로스 트랄레스는 사실 헤르모닥틸이 든 처방 여섯 가지를 남기면서 그 공을 앞의 세 사람에게 돌렸어요.",byzantium,ancient,history,paper,https://pmc.ncbi.nlm.nih.gov/articles/PMC7046033/,single_source,영문명 Autumn Crocus는 사프란(Crocus sativus)이 아니라 콜키쿰(Colchicum autumnale)이고 독초다. 카탈로그 crocus의 기존 4편(단일 클론·뉘른베르크·문트 마을·동정 이야기)과 중복 없음.
사프란,bstory-autumn-crocus-wild-garlic-poisoning,뿌리 하나와 잎 셋으로 끓인 차,산마늘로 착각해 끓인 차 500밀리리터에 콜히친이 최소 10밀리그램 들어 있었어요.,"2026년 학술지 톡식스에 실린 증례 보고는 이 식물이 왜 무서운지 보여 줘요. 한 환자가 콜키쿰을 산마늘로 착각해, 뿌리 하나와 잎 세 장으로 차 500밀리리터를 끓여 마셨어요. 연구진이 추정한 콜히친 섭취량은 최소 10밀리그램, 많으면 40밀리그램이 넘어요. 6시간 뒤 복통과 구토와 심한 설사가 시작됐고, 24시간째에는 착란과 어눌한 말이 겹쳤으며, 사흘째에는 급성 심장 기능 저하로 호흡 보조를 받았어요. 이 환자는 7일 만에 회복해 퇴원했지만, 논문이 인용한 이전 사례 열아홉 건 가운데 열 건은 사망이었어요.",europe,modern,history,paper,https://pmc.ncbi.nlm.nih.gov/articles/PMC13120402/,single_source,"봄에 올라오는 콜키쿰 잎이 산마늘과 닮아서 생기는 사고다. 화면 노출 시 ""먹어도 되는 사프란""으로 오해되지 않도록 독초임을 반드시 함께 보여 줄 것."
노루귀,bstory-hepatica-liverwort-1883,간을 닮았다는 이유로 45만 파운드가 팔렸습니다,"잎이 간을 닮았다는 이유 하나로, 1883년 한 해에만 45만 파운드어치가 팔려 나갔습니다.","노루귀 잎은 세 갈래로 갈라지고 자줏빛이 돌아요. 옛사람들은 그 모양이 간을 닮았다고 봤어요. 닮은 것이 닮은 것을 고친다는 믿음이 있었거든요. 그래서 노루귀는 간약이 됐어요. 1800년대 후반 미국 남부 산지에서는 사람들이 산을 훑으며 노루귀 잎을 땄어요. 특허약 회사들이 사 갔거든요. 1883년 한 해에만 약재상들이 사들인 노루귀 잎이 45만 파운드, 그러니까 이백 톤이 넘었어요. 결말은 싱거워요. 아무도 효과를 못 봤고, 약은 시장에서 사라졌고, 노루귀는 다시 흔한 봄꽃으로 돌아왔어요.",usa,19c,history,magazine,https://northernwoodlands.org/articles/article/doctrine-signatures,repeated,birth-story-v1: docs/birth-stories-research-1.md #4. 45만 파운드·1883년·특허약 상표명을 출처 본문에서 확인. 한국의 노루귀(Hepatica asiatica)와 미국종은 다른 종이지만 같은 속이라 본문은 속 단위로 썼다.
측백나무,bstory-thuja-cartier-tree-of-life,괴혈병을 멈춘 나무가 생명의 나무가 됐습니다,"1536년 겨울, 이로쿼이 사람들이 끓여 준 나뭇잎 물 한 사발이 프랑스 선원들을 살렸습니다.","1536년 겨울, 자크 카르티에의 배는 세인트로렌스강에 갇혀 있었어요. 신선한 것을 못 먹은 선원들이 괴혈병으로 쓰러졌고요. 이로쿼이 사람들이 상록수 껍질과 잎을 물에 끓여 마시게 했어요. 사람들이 살아났어요. 그들은 그 나무를 아네다라고 불렀어요. 프랑스인들은 아르브르 드 비, 생명의 나무라고 옮겨 적었고요. 이 이름이 그대로 학명 옆에 붙어 오늘날의 아르보르비타이가 됐어요. 비타민 C가 병을 고쳤다는 건 사백 년 뒤에야 밝혀졌어요. 어느 침엽수였는지는 아직도 학자들 사이에서 갈려요.",canada-france,16c,history,paper,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2647905/,repeated,"birth-story-v1: docs/birth-stories-research-1.md #5. 출처 논문이 아네다의 정체를 두고 측백나무속(Thuja occidentalis)과 발삼전나무(Abies balsamea) 설이 갈린다고 스스로 밝혀, 본문에도 갈림을 남겼다. 한국의 측백나무는 Platycladus orientalis 로 북미 서양측백과 다른 종이다."
측백나무,bstory-thuja-daegu-dodong-grove,천연기념물 목록의 맨 앞자리,"우리나라에서 천연기념물 지정이 처음 무더기로 이뤄진 날, 목록의 맨 앞에 이 숲이 있었습니다.","대구 동구 도동 산비탈에는 측백나무만 빽빽하게 들어찬 숲이 있어요. 넓이가 삼만 오천 제곱미터가 넘어요. 이 숲이 천연기념물로 지정된 날짜는 1962년 12월 7일이에요. 우리나라 천연기념물 지정이 처음으로 무더기로 이뤄진 날이고, 도동 측백나무 숲은 그 목록의 맨 앞자리에 올랐어요. 측백나무는 원래 중국 북부와 우리나라 일부에만 자라는 나무예요. 그런 나무가 이렇게 한 비탈을 통째로 차지하고 있는 곳은 드물어요. 관리 주체는 대구시이고, 지금도 개인 소유자가 따로 있는 숲이에요.",korea,modern,history,museum,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaCpno=1362200010000,repeated,"birth-story-v1: docs/birth-stories-research-1.md #6. 지정일(1962.12.07)·면적(35,603㎡)·소재지·관리 주체를 국가유산포털에서 확인. '천연기념물 제1호'라는 표현은 이 페이지에 지정 번호가 표기돼 있지 않아 본문에서 쓰지 않고 '목록의 맨 앞자리'로 돌려 적었다."
향기 알리섬,bstory-sweet-alyssum-name-moved,알리섬이라 부르지만 알리섬이 아닙니다,"이 꽃을 알리섬이라 부르는 사람은 많지만, 학명에서 알리섬이라는 이름은 이미 빠져나갔습니다.",향기 알리섬은 이름이 한 번 이사를 갔어요. 예전 학명은 알리숨 마리티뭄이었어요. 그래서 지금도 화원에서는 그냥 알리섬이라고 불러요. 그런데 분류가 정리되면서 이 꽃은 로불라리아속으로 옮겨졌어요. 로불라리아는 라틴어로 작은 꼬투리라는 뜻이에요. 열매가 자잘한 꼬투리로 맺히거든요. 종소명 마리티마는 바닷가라는 뜻이고요. 지중해 해안이 고향이에요. 여름이 서늘한 곳에서는 봄부터 첫서리까지 흰 꽃을 끊이지 않고 피워요. 부르는 이름과 적히는 이름이 다른 꽃이에요.,global,modern,history,garden,https://plants.ces.ncsu.edu/plants/lobularia-maritima/,repeated,birth-story-v1: docs/birth-stories-research-1.md #7. 이명(Alyssum maritimum 등)·속명 어원(lobulus)·종소명 뜻·개화 습성을 출처에서 확인. 흔히 도는 '알리섬=광견병 치료'라는 어원 설명은 이 출처에 없어 싣지 않았다.
가시,bstory-thorn-glastonbury-christmas,크리스마스에 꽃을 피우는 가시나무,"영국에는 한겨울에 꽃을 피우는 가시나무가 있고, 그 가지는 해마다 왕실 식탁으로 갑니다.","글래스턴베리에는 이상한 산사나무가 한 그루 있어요. 봄에 한 번, 겨울에 또 한 번 꽃을 피우거든요. 크라타이구스 모노기나 비플로라라는 변종이에요. 비플로라가 두 번 핀다는 뜻이에요. 전설은 이래요. 아리마태아 요셉이 이 언덕에 지팡이를 꽂았더니 뿌리가 내려 나무가 됐다고요. 그 겨울 꽃가지는 수백 년 동안 해마다 영국 군주의 크리스마스 식탁에 올랐어요. 그런데 2010년 12월, 누군가 이 나무의 가지를 톱으로 잘라 버렸어요. 범인은 끝내 밝혀지지 않았어요. 재미있는 건 이 나무가 영국 자생종이 아니라는 점이에요. 중동 쪽에서 온 나무예요.",england,medieval-modern,folklore,other,https://blogs.reading.ac.uk/crg/glastonbury-thorn/,varies,birth-story-v1: docs/birth-stories-research-1.md #8. 두 번 피는 변종·군주 헌상 관습·2010년 훼손을 출처에서 확인. 요셉 전설은 전승이라 story_type 을 folklore 로 두고 confidence 를 varies 로 내렸다. birth_flowers 표의 '가시'는 특정 종이 아니라 Thorn 이라는 총칭이다.
