read_id,kind,title,source_title,author,source_url,published_at,starts_at,ends_at,region,summary_ko,access,confidence,reviewed_at,tags,links_to,editorial_note
read-rhs-wisley-show-2026,event,RHS Wisley Flower Show,Royal Horticultural Society,,https://www.rhs.org.uk/shows-events,,2026-09-01,2026-09-06,영국 서리,영국 왕립원예협회가 자기네 정원 한복판에서 여는 꽃 잔치예요. 여름 끝과 가을 초입이 겹치는 엿새 동안만 열려요.,open,repeated,2026-08-17,가을|축제|해외,,RHS 공식 쇼 목록에서 확인. 목록 원문 표기 `RHS Wisley Flower Show — 1-6 September 2026`. 개별 쇼 페이지가 아니라 목록 URL 을 건 이유는 회차가 끝나면 개별 페이지가 다음 회차로 갈아치워지기 때문이다.
read-hyoseok-festival-2026,event,평창효석문화제,평창효석문화제 공식 홈페이지,효석문화제위원회,https://www.hyoseok.com/,,2026-09-04,2026-09-13,강원 평창,소설 속 그 메밀밭이 실제로 하얗게 뒤집히는 열흘이에요. 소금을 뿌린 듯하다던 문장을 눈으로 확인하러 가는 자리고요.,open,varies,2026-08-17,가을|축제|지방,color:white,"⚠ 공식 사이트 안에서 날짜가 갈린다 — 첫 화면은 `2026년 9월4일(금) ~ 13일(일)`, 하위 일정표(/sub02_01)는 `(09.05-09.14)` 다. 요일로 판정했다: 2026-09-04 는 금요일·09-13 은 일요일이라 첫 화면이 맞고, 09.05~09.14 는 2025년 표기가 남은 것이다. 회차 번호는 사이트에 명시가 없어 제목에서 뺐다. 메밀꽃은 도감에 없어 색만 걸었다."
read-hampyeong-lycoris-2026,event,제27회 함평모악산 꽃무릇축제,함평축제관광재단,함평축제관광재단,https://www.hpftf.or.kr/contentsView.do?pageId=www212,,2026-09-16,2026-09-20,전남 함평,용천사 둘레 40만 평이 통째로 붉어지는 닷새예요. 잎이 다 진 자리에 꽃이 오는 탓에 서로를 끝내 만나지 못한다는 꽃이고요.,open,repeated,2026-08-17,가을|축제|지방,color:red,"주최 측 축제안내 페이지 원문: `2026. 9. 16.(수) ~ 2026. 9. 20.(일) / 5일간`. 군락 규모(40여만 평)도 같은 페이지 소개문에서 가져왔다. 꽃무릇(석산, Lycoris radiata)은 도감 59종에 없어 flower 연결을 비웠다 — 상사화와 꽃무릇을 섞어 부르는 관행이 있어 함부로 잇지 않는다."
read-yeonggwang-sangsahwa-2026,event,제26회 영광불갑산상사화축제,영광군 문화관광,상사화축제추진위원회,https://tour.yeonggwang.go.kr/tour2?mn=7423&sc_type=5&site=tour_2019&type=fest,,2026-09-18,2026-09-27,전남 영광,전국에서 가장 넓은 상사화 군락이 열흘간 열려요. 이룰 수 없는 사랑이라는 꽃말을 품은 꽃을 보러 가는 길이에요.,open,repeated,2026-08-17,가을|축제|지방,color:red,영광군 공식 관광 사이트 원문: `2026. 9. 18(금) ∼ 9. 27(일) / 10일간`. 연도 탭을 JS 로 그리는 페이지라 본문 HTML 에서 문자열을 직접 확인했다. 꽃말 문구도 같은 페이지 소개문 표현이다. 상사화·석산 모두 도감에 없어 flower 연결은 비웠다.
read-malvern-autumn-2026,event,Malvern Autumn Show,Royal Horticultural Society,,https://www.rhs.org.uk/shows-events,,2026-09-25,2026-09-27,영국 우스터셔,가을걷이와 정원이 한자리에 서는 사흘짜리 쇼예요. 거대 호박을 겨루는 대회로도 이름이 나서 웃으며 보게 되는 자리고요.,open,repeated,2026-08-17,가을|축제|해외,,RHS 공식 쇼 목록 원문 `Malvern Autumn Show — 25-27 September 2026`. 목록 URL 을 거는 이유는 read-rhs-wisley-show-2026 과 같다.
read-sbg-atelier-2026,event,서울식물원 주제정원 수생 식물 전시 《정원 속 아틀리에》,서울식물원,서울식물원,https://botanicpark.seoul.go.kr/front/board/newsView.do?sn=19502,2026-07-16,2026-07-01,2026-09-30,서울 강서,주제정원 계류를 따라 물에 사는 식물을 늘어놓은 전시예요. 날짜를 못박지 않고 9월까지만 연다고 해요.,open,single_source,2026-08-17,여름|가을|전시|서울·수도권,flower:water-lily,⚠ 월 단위 공지다 — 공식 안내가 `2026. 7. ~ 9.` 로만 적혀 있어 시작·종료를 그 달의 처음과 끝으로 잡았다. 화면에서는 날짜를 콕 집지 말고 `9월까지` 처럼 달로 말할 것. 수련은 도감에 있어 연결했지만 연꽃과는 다른 종이다(content/README.md 의 수련↔연꽃 함정).
read-sjna-garden-marble-2026,event,국립세종수목원 특별전시 《가든마블: 세계의 정원》,국립세종수목원,한국수목원정원관리원,https://sjna.koagi.or.kr/sjna/user/bbs/BD_selectBbs.do?q_bbsSn=1046&q_clsfNo=3&q_bbsDocNo=20260519093525905&q_prgrsStatus=1002,,2026-06-06,2026-10-11,세종,세계의 정원 문화를 보드게임 판처럼 한 칸씩 걸어 보는 전시예요. 온실 안이라 날씨를 타지 않는 것도 좋고요.,open,single_source,2026-08-17,여름|가을|전시|지방,,공식 전시 프로그램 안내 원문: 기간 `2026-06-06 ~ 2026-10-11`. 장소 `사계절전시온실 특별전시온실`. 동양의 비움·색채의 정원·미래의 정원을 한 동선에 놓았다고 소개한다.
read-jeongeup-gujeolcho-2026,event,제19회 정읍 구절초 꽃축제,정읍시,정읍시,https://www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000602004002001,,2026-10-08,2026-10-18,전북 정읍,솔숲 아래가 온통 흰 구절초로 덮이는 열하루예요. 요란하지 않게 가을이 내려앉은 자리라 조용히 걷기 좋아요.,open,repeated,2026-08-17,가을|축제|지방,color:white|theme:숲빛,정읍시 공식 행사개요 원문: `2026. 10. 8.(목) ~ 10. 18.(일) / 11일간`. ⚠ 구절초는 국화과 자생종이라 도감의 `chrysanthemum`(재배국화)과 다른 식물이다 — content/README.md 가 기록한 이름 겹침 함정(과꽃↔개미취 류)과 같은 자리라 일부러 잇지 않고 색만 걸었다.
read-gg-garden-expo-2026,event,2026 제14회 경기정원문화박람회,경기정원문화박람회,경기도·양평군,https://gggarden.kr/2026/intro/summary,,2026-10-16,2026-10-19,경기 양평,두물머리와 세미원이 나흘간 통째로 정원이 돼요. 물과 정원이 맞닿은 자리라 같은 길도 걷는 맛이 다르고요.,open,repeated,2026-08-17,가을|축제|전시|서울·수도권,,"공식 개요 페이지 원문: 행사기간 `2026년 10월 16일 (금) ~ 10월 19일 (월)`, 행사장소 `양평군 세미원 및 두물머리`, 주최 `경기도, 양평군`. ⚠ 세미원의 주인공은 연꽃인데 도감의 `water-lily`(수련)는 다른 종이라 flower 연결을 비웠다."
read-masan-chrysanthemum-2026,event,제26회 마산가고파국화축제,창원시,창원시,https://www.changwon.go.kr/cwportal/depart/11063/14383/14386.web,,2026-10-31,2026-11-08,경남 창원,바닷가 수변공원이 국화 향으로 가득 차는 아흐레예요. 아직 예정 일정이라 가기 전에 한 번 더 확인해 주세요.,open,varies,2026-08-17,가을|축제|지방,flower:chrysanthemum,"창원시 축제개요 페이지 원문: `행사 기간  2026. 10. 31.(토) ~ 11. 8.(일) (예정)`. ⚠ **(예정) 표기가 붙어 있다** — 확정되면 같은 페이지가 표기를 뗄 테니 주간 점검에서 확인할 것. ⚠ **처음엔 다른 날짜를 적었다가 고쳤다**: 창원시 시설 예약 공지(`/booking/10034/10152.web?amode=view&idx=486`)가 `예약불가 기간 : 2026. 10. 25. ~ 11. 12.` 라고 해서 그 값을 썼는데, 축제개요 페이지를 찾고 보니 **예약 차단 기간이 준비·철거까지 포함해 실제 축제보다 앞뒤로 넓었다.** 예약·통제 공지의 기간을 축제 기간으로 쓰면 안 된다는 사례로 남긴다."
